Date,Open,High,Low,Close,Adj Close,Volume
2013-07-31,91.599998,91.599998,91.580002,91.599998,82.043625,238800
2013-08-01,91.580002,91.599998,91.580002,91.580002,82.025734,207450
2013-08-02,91.580002,91.599998,91.580002,91.599998,82.043625,273800
2013-08-05,91.599998,91.599998,91.580002,91.599998,82.043625,149900
2013-08-06,91.599998,91.599998,91.580002,91.599998,82.043625,89300
2013-08-07,91.599998,91.599998,91.580002,91.580002,82.025734,97100
2013-08-08,91.580002,91.599998,91.580002,91.580002,82.025734,112050
2013-08-09,91.580002,91.599998,91.580002,91.599998,82.043625,172650
2013-08-12,91.599998,91.599998,91.580002,91.599998,82.043625,118550
2013-08-13,91.599998,91.599998,91.580002,91.599998,82.043625,60500
2013-08-14,91.580002,91.599998,91.580002,91.599998,82.043625,131400
2013-08-15,91.599998,91.599998,91.580002,91.599998,82.043625,668500
2013-08-16,91.599998,91.599998,91.580002,91.599998,82.043625,491950
2013-08-19,91.599998,91.599998,91.580002,91.580002,82.025734,233600
2013-08-20,91.599998,91.599998,91.580002,91.599998,82.043625,207650
2013-08-21,91.580002,91.599998,91.580002,91.599998,82.043625,244300
2013-08-22,91.599998,91.599998,91.580002,91.580002,82.025734,240850
2013-08-23,91.599998,91.599998,91.580002,91.599998,82.043625,86050
2013-08-26,91.580002,91.599998,91.580002,91.580002,82.025734,249800
2013-08-27,91.599998,91.599998,91.580002,91.580002,82.025734,231250
2013-08-28,91.580002,91.599998,91.580002,91.580002,82.025734,77950
2013-08-29,91.599998,91.599998,91.580002,91.599998,82.043625,133950
2013-08-30,91.580002,91.599998,91.580002,91.599998,82.043625,500900
2013-09-03,91.580002,91.599998,91.580002,91.599998,82.043625,370900
2013-09-04,91.580002,91.599998,91.580002,91.599998,82.043625,206500
2013-09-05,91.580002,91.599998,91.580002,91.599998,82.043625,527000
2013-09-06,91.580002,91.599998,91.580002,91.599998,82.043625,265500
2013-09-09,91.599998,91.599998,91.559998,91.559998,82.007797,903150
2013-09-10,91.599998,91.599998,91.580002,91.580002,82.025734,275950
2013-09-11,91.599998,91.599998,91.580002,91.580002,82.025734,417200
2013-09-12,91.599998,91.599998,91.580002,91.580002,82.025734,97150
2013-09-13,91.599998,91.599998,91.580002,91.599998,82.043625,355250
2013-09-16,91.580002,91.599998,91.580002,91.580002,82.025734,185150
2013-09-17,91.580002,91.599998,91.580002,91.580002,82.025734,158050
2013-09-18,91.580002,91.599998,91.580002,91.599998,82.043625,295750
2013-09-19,91.580002,91.599998,91.580002,91.599998,82.043625,206200
2013-09-20,91.599998,91.599998,91.580002,91.580002,82.025734,647550
2013-09-23,91.580002,91.599998,91.580002,91.580002,82.025734,191300
2013-09-24,91.599998,91.599998,91.580002,91.580002,82.025734,160600
2013-09-25,91.580002,91.599998,91.580002,91.580002,82.025734,83150
2013-09-26,91.599998,91.599998,91.580002,91.580002,82.025734,102050
2013-09-27,91.580002,91.599998,91.580002,91.580002,82.025734,247300
2013-09-30,91.580002,91.599998,91.580002,91.580002,82.025734,480950
2013-10-01,91.599998,91.599998,91.559998,91.599998,82.043625,2340450
2013-10-02,91.599998,91.599998,91.580002,91.599998,82.043625,185000
2013-10-03,91.599998,91.599998,91.580002,91.599998,82.043625,1240550
2013-10-04,91.580002,91.599998,91.580002,91.599998,82.043625,283800
2013-10-07,91.599998,91.599998,91.580002,91.599998,82.043625,203000
2013-10-08,91.580002,91.599998,91.580002,91.599998,82.043625,215850
2013-10-09,91.559998,91.580002,91.559998,91.580002,82.025734,325100
2013-10-10,91.559998,91.580002,91.559998,91.559998,82.007797,939600
2013-10-11,91.580002,91.580002,91.540001,91.540001,81.989876,6366750
2013-10-14,91.540001,91.559998,91.540001,91.540001,81.989876,150500
2013-10-15,91.559998,91.559998,91.540001,91.540001,81.989876,562650
2013-10-16,91.540001,91.580002,91.540001,91.559998,82.007797,945500
2013-10-17,91.580002,91.580002,91.559998,91.559998,82.007797,140350
2013-10-18,91.559998,91.580002,91.559998,91.580002,82.025734,197450
2013-10-21,91.580002,91.580002,91.559998,91.580002,82.025734,215550
2013-10-22,91.559998,91.580002,91.559998,91.580002,82.025734,100200
2013-10-23,91.580002,91.580002,91.559998,91.580002,82.025734,259950
2013-10-24,91.559998,91.580002,91.559998,91.559998,82.007797,149050
2013-10-25,91.559998,91.580002,91.559998,91.580002,82.025734,69650
2013-10-28,91.559998,91.580002,91.559998,91.580002,82.025734,88300
2013-10-29,91.559998,91.580002,91.559998,91.559998,82.007797,873700
2013-10-30,91.559998,91.580002,91.559998,91.559998,82.007797,399450
2013-10-31,91.580002,91.580002,91.559998,91.559998,82.007797,143900
2013-11-01,91.580002,91.580002,91.559998,91.559998,82.007797,539750
2013-11-04,91.559998,91.580002,91.559998,91.559998,82.007797,138100
2013-11-05,91.580002,91.580002,91.559998,91.559998,82.007797,85150
2013-11-06,91.580002,91.580002,91.559998,91.580002,82.025734,502800
2013-11-07,91.559998,91.580002,91.559998,91.559998,82.007797,156350
2013-11-08,91.580002,91.580002,91.559998,91.559998,82.007797,296000
